"DOY","Ztherm","Lake","Year","DOC","kPAR","cumulative.load","daily.load","Manual_Chl"
237,4.75,"L",2015,3.416666667,0.716501430482386,26.4,0.3,3.380575416
238,NA,"L",2015,3.416666667,0.716501430482386,26.7,0.3,2.72119508
239,NA,"L",2015,3.416666667,0.716501430482386,27,0.3,3.354378498
240,NA,"L",2015,3.416666667,0.716501430482386,27.3,0.3,3.246775634
241,NA,"L",2015,3.416666667,0.716501430482386,27.6,0.3,3.009986776
242,NA,"L",2015,3.416666667,0.716501430482386,27.9,0.3,2.595840873
243,NA,"L",2015,3.416666667,0.716501430482386,28.2,0.3,2.151275264
244,NA,"L",2015,3.416666667,0.716501430482386,28.5,0.3,2.135713513
245,NA,"L",2015,3.416666667,0.716501430482386,28.8,0.3,2.599047062
150,NA,"L",2024,4.06457142857143,0.647782573079406,0.3,0.3,3.268530209
151,NA,"L",2024,3.98314285714286,0.649860034939807,0.6,0.3,2.630575677
152,NA,"L",2024,3.90171428571429,0.651937496800208,0.9,0.3,2.258271925
153,NA,"L",2024,3.82028571428571,0.654014958660608,1.2,0.3,2.799039122
154,NA,"L",2024,3.73885714285714,0.656092420521009,1.5,0.3,2.375383939
155,NA,"L",2024,3.65742857142857,0.65816988238141,1.8,0.3,2.708890941
156,2.75,"L",2024,3.576,0.660247344241811,2.1,0.3,2.489485268
157,NA,"L",2024,3.63657142857143,0.649845778935321,2.4,0.3,3.841095052
158,NA,"L",2024,3.69714285714286,0.63944421362883,2.7,0.3,3.696203412
159,NA,"L",2024,3.75771428571429,0.62904264832234,3,0.3,3.51174102
160,NA,"L",2024,3.81828571428571,0.618641083015849,3.3,0.3,3.263200129
161,NA,"L",2024,3.87885714285714,0.608239517709359,3.6,0.3,3.819926223
162,NA,"L",2024,3.93942857142857,0.597837952402868,3.9,0.3,2.732325185
163,3.25,"L",2024,4,0.587436387096378,4.2,0.3,2.720008189
164,NA,"L",2024,3.98907142857143,0.59463518210909,4.5,0.3,2.547720007
165,NA,"L",2024,3.97814285714286,0.601833977121802,4.8,0.3,3.537049759
166,NA,"L",2024,3.96721428571429,0.609032772134514,5.1,0.3,3.012629767
167,NA,"L",2024,3.95628571428571,0.616231567147227,5.4,0.3,3.493406136
168,NA,"L",2024,3.94535714285714,0.623430362159939,5.7,0.3,4.294649007
169,NA,"L",2024,3.93442857142857,0.630629157172651,6,0.3,4.601556105
170,3.75,"L",2024,3.9235,0.637827952185363,6.3,0.3,3.413724833
171,NA,"L",2024,3.91028571428571,0.64871492887136,6.6,0.3,4.826836011
172,NA,"L",2024,3.89707142857143,0.659601905557356,6.9,0.3,4.962661639
173,NA,"L",2024,3.88385714285714,0.670488882243353,7.2,0.3,5.969815208
174,NA,"L",2024,3.87064285714286,0.68137585892935,7.5,0.3,6.466735921
175,NA,"L",2024,3.85742857142857,0.692262835615347,7.8,0.3,4.921910294
176,NA,"L",2024,3.84421428571429,0.703149812301343,8.1,0.3,4.392957731
177,3.25,"L",2024,3.831,0.71403678898734,8.4,0.3,6.045208591
178,NA,"L",2024,3.817,0.700165408108196,8.7,0.3,5.088623745
179,NA,"L",2024,3.803,0.686294027229053,9,0.3,4.11414369
180,NA,"L",2024,3.789,0.672422646349909,9.3,0.3,4.031669362
181,NA,"L",2024,3.775,0.658551265470766,9.6,0.3,3.763409264
182,NA,"L",2024,3.761,0.644679884591622,9.9,0.3,5.026019246
183,NA,"L",2024,3.747,0.630808503712479,10.2,0.3,5.162981063
184,3.75,"L",2024,3.733,0.616937122833335,10.5,0.3,5.012446782
185,NA,"L",2024,3.75921428571429,0.63002518925261,10.8,0.3,5.618109142
186,NA,"L",2024,3.78542857142857,0.643113255671886,11.1,0.3,4.157735075
187,NA,"L",2024,3.81164285714286,0.656201322091161,11.4,0.3,6.744974466
188,NA,"L",2024,3.83785714285714,0.669289388510437,11.7,0.3,4.812271014
189,NA,"L",2024,3.86407142857143,0.682377454929712,12,0.3,3.698230271
190,NA,"L",2024,3.89028571428571,0.695465521348988,12.3,0.3,5.431681708
191,3.75,"L",2024,3.9165,0.708553587768263,12.6,0.3,4.817150101
192,NA,"L",2024,3.92714285714286,0.704137011404671,12.9,0.3,4.266546373
193,NA,"L",2024,3.93778571428571,0.699720435041078,13.2,0.3,4.641551732
194,NA,"L",2024,3.94842857142857,0.695303858677486,13.5,0.3,3.842434102
195,NA,"L",2024,3.95907142857143,0.690887282313893,13.8,0.3,3.970200182
196,NA,"L",2024,3.96971428571429,0.686470705950301,14.1,0.3,4.587416853
197,NA,"L",2024,3.98035714285714,0.682054129586708,14.4,0.3,4.33611428
198,3.25,"L",2024,3.991,0.677637553223116,14.7,0.3,5.123229217
199,NA,"L",2024,3.99314285714286,0.673614606590839,15,0.3,5.4915846
200,NA,"L",2024,3.99528571428571,0.669591659958562,15.3,0.3,6.146221534
201,NA,"L",2024,3.99742857142857,0.665568713326285,15.6,0.3,5.235441249
202,NA,"L",2024,3.99957142857143,0.661545766694007,15.9,0.3,5.629929871
203,NA,"L",2024,4.00171428571429,0.65752282006173,16.2,0.3,4.101115379
